objid,source_id,ra,dec,pmra,pmdec,ref_epoch,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_g_mean_ABmag,phot_bp_mean_ABmag,phot_rp_mean_ABmag,phot_g_mean_ABmag_err,phot_bp_mean_ABmag_err,phot_rp_mean_ABmag_err,AbsMagG,AbsMagG_err,BpRp,BpRp_err,SDSS_u,SDSS_u_err,SDSS_g,SDSS_g_err,SDSS_r,SDSS_r_err,SDSS_i,SDSS_i_err,SDSS_z,SDSS_z_err,SMSS_u,SMSS_u_err,SMSS_v,SMSS_v_err,SMSS_g,SMSS_g_err,SMSS_r,SMSS_r_err,SMSS_i,SMSS_i_err,SMSS_z,SMSS_z_err,PS1_g,PS1_g_err,PS1_r,PS1_r_err,PS1_i,PS1_i_err,PS1_z,PS1_z_err,PS1_y,PS1_y_err,DES_g,DES_g_err,DES_r,DES_r_err,DES_i,DES_i_err,DES_z,DES_z_err,DES_y,DES_y_err,2MASS_j,2MASS_j_err,2MASS_h,2MASS_h_err,2MASS_k,2MASS_k_err,GALEX_fuv_mag,GALEX_fuv_mag_err,GALEX_nuv_mag,GALEX_nuv_mag_err,WISE_W1,WISE_W1_err,WISE_W2,WISE_W2_err,TESS_T,TESS_T_err,mask
197,3586859340739311488,173.40364819447706,-11.091843963321526,-192.26810729707643,-59.88774026637233,2016.0,16.555222,16.595856,16.473211,15.07878968385896,0.060040202,4496.333085118823,3.168646,3141.048984290179,14.34666,2041.143085949146,11.005432,16.668897898383708,16.61127277208212,16.829286936164788,0.002850248877069493,0.005471431937145948,0.006058439477887759,12.56068190872599,0.009056791577389454,-0.2180141640826713,0.008159304290631294,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.7097,0.0178,16.6719,0.0169,16.5762,0.0079,16.6466,0.0144,16.8191,0.008,17.0204,0.01,16.5674,0.0028,16.6606,0.0016,16.7975,0.0037,16.9544,0.0042,17.0758,0.0094,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.458,0.126,17.651,0.188,-1.0,-1.0,19.776,0.1246,17.6086,0.0232,19.354515759421567,0.0398911223004849,-1.0,-1.0,16.547,0.006,0.0
200,3490527755479959936,177.58339167883256,-25.893723018809858,-108.72800711885847,-124.91095028400744,2016.0,16.290762,16.485447,15.96321,34.04983611431383,0.046802893,5736.431039000045,2.5839076,3477.268109527003,13.451782,3264.9312016859153,9.227009,16.40444113171464,16.500849914443744,16.31927008336265,0.0027889762759716144,0.004790684082168086,0.003459071292976004,14.065022685383854,0.0040822598475853894,0.18157983108109732,0.00591377520439648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0822,0.0144,16.8765,0.0161,16.455,0.006,16.3142,0.0084,16.3075,0.007,16.3767,0.0109,16.513,0.0022,16.3178,0.0024,16.2923,0.0024,16.3562,0.0066,16.392,0.0058,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.618,0.071,16.861,0.115,17.332,0.233,-1.0,-1.0,19.7136,0.133,18.276438510002972,0.015781804440886178,18.99769682557955,0.0628274521458473,16.035,0.006,0.0
208,3519617951228451328,185.80663919870523,-18.870232205389737,24.745040764430485,-97.12414518420205,2016.0,16.451372,16.5228,16.314734,20.759143492947338,0.05658932,4947.642018974783,3.4418373,3359.6700306322123,10.906664,2361.917580033606,10.617208,16.56504494404674,16.538196045986084,16.670839006841526,0.002845309859818039,0.004204145695457175,0.005135439620689527,13.151077620299144,0.006571613344456769,-0.132642960855443,0.006642994349682244,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.7303,0.018,16.6421,0.0267,16.4919,0.0078,16.5448,0.0307,16.6667,0.0061,16.8152,0.0088,16.5089,0.002,16.5277,0.0056,16.656,0.002,16.7739,0.0081,16.8724,0.0033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.5271,0.2856,17.7541,0.0251,19.105344431037295,0.03291518578405448,-1.0,-1.0,16.399,0.006,0.0
213,3528871819044810368,190.48175700844206,-13.584461293813927,-272.0029023029287,-174.62196469605982,2016.0,15.721505,15.811216,15.544665,27.819860007335123,0.047510855,9690.465622779084,4.529948,6470.38933878442,12.650464,4800.563355189349,10.355354,15.835181786541973,15.826627792294769,15.900753632631483,0.002790071410329451,0.0031403986754307543,0.0028215749693089403,13.056959156463826,0.004647596301154372,-0.07412584033671699,0.004222900086191125,16.0925,0.006,15.7955,0.004,15.7795,0.004,15.8675,0.004,15.9595,0.008,16.0526,0.0224,15.9794,0.0302,15.775,0.0075,15.7697,0.0121,15.8784,0.0071,16.0059,0.0087,15.811178048780487,0.0032,15.7941,0.0023,15.8799,0.0044,15.9974,0.0028,16.0586,0.0084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.422,0.051,16.741,0.108,17.209,0.195,-1.0,-1.0,-1.0,-1.0,18.08914160982072,0.014384050007621198,18.559558159418664,0.04339237611200909,15.617,0.006,0.0
216,1540371883066128768,191.39854094141336,42.63994807144489,18.94541025942017,-53.884973114782035,2016.0,17.085533,17.155296,16.96097,14.09947600828709,0.07265448,2758.8851558231604,1.7187136,1876.2843195181028,6.8140984,1302.4776733695824,9.952899,17.199211310513903,17.17071233686703,17.317110126677623,0.0028261906534035224,0.004565105219813498,0.008453823808206216,12.94515412838098,0.011507000870342137,-0.14639778981059162,0.009618794204487644,17.298666666666666,0.009,17.111,0.004,17.174999999999997,0.005,17.275333333333332,0.006,17.43016494845361,0.015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.1322,0.005,17.1633,0.0041,17.2909,0.0039,17.4306,0.0042,17.5221,0.0089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.2963,0.0318,19.685881973829446,0.041233025856035437,-1.0,-1.0,17.031,0.006,2.0
217,3530520910392199680,192.1169202934096,-10.483153924976504,-105.13779032993877,-95.8383603149011,2016.0,16.81184,16.966652,16.535793,25.18422790417247,0.0630287,3549.8579707313147,2.1131082,2232.317024228094,9.140943,1926.817862303971,9.176493,16.92551347008725,16.982085748153214,16.891900574978944,0.0028197115174458222,0.004993224000530396,0.005404611301171097,13.931165230368109,0.006129406217798788,0.09018517317426547,0.007355585886795862,17.430999999999997,0.009,16.954333333333334,0.005,16.843333333333334,0.005,16.857333333333333,0.005,16.893333333333334,0.01,17.3936,0.0189,17.2981,0.0214,16.9282,0.0103,16.8302,0.0188,16.8766,0.0087,16.9564,0.0133,16.9684,0.003,16.8494,0.0044,16.8787,0.0019,16.9439,0.0028,17.0235,0.0087,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.236,0.095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.678764146803395,0.05432491987376716,-1.0,-1.0,16.618,0.006,0.0
230,3606353475741254272,203.3389143721855,-15.00746155061869,-161.5183853424179,-4.617928813022027,2016.0,16.840637,17.027138,16.526903,23.313122904035584,0.06806943,3456.9416939794773,2.1192431,2111.3559472283,8.923546,1942.6615846225936,8.746305,16.954316073164797,17.04254639140513,16.883026631324128,0.0028267324259574115,0.0051242411951973755,0.005132268867526149,13.792344529218868,0.0069601284490467055,0.15951976008099777,0.0072478749766623,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.5462,0.0236,17.3883,0.0162,16.9901,0.0051,16.8589,0.007,16.8566,0.0065,16.9087,0.0117,17.020622277227723,0.011027227722770953,16.871931310344824,0.00941572413793118,16.86775448281142,0.015250440241941018,16.9194874058127,0.004,16.983759728506783,0.01120723981900563,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.232,0.11,17.355999999999998,0.142,-1.0,-1.0,-1.0,-1.0,20.0902,0.1163,18.812065826254795,0.02588417745428425,-1.0,-1.0,16.599,0.006,0.0
248,1494485758144731520,216.78351666169226,45.60864768818019,-77.96406752724224,-34.83462735560073,2016.0,16.688375,16.836292,16.430216,23.37577289397338,0.044503298,3977.378068577993,2.128797,2517.099333989164,8.725023,2123.597360638235,6.927807,16.8020534814529,16.85170053059653,16.7863078911707,0.002805192025162432,0.004406970255787273,0.0038724683995675626,13.645886553809088,0.004996970366642617,0.06539263942583187,0.005865044929899635,17.288666666666668,0.009,16.822666666666667,0.004,16.72,0.004,16.748,0.005,16.843000000000004,0.011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.826,0.0053,16.7179,0.0025,16.7428,0.0075,16.8444,0.0032,16.9121,0.0112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.173000000000002,0.102,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.840313231199723,0.01958810449352327,19.331375941171235,0.06111532118618868,16.503,0.006,2.0
262,6206195620664214400,230.81688080569793,-34.20315652643039,-364.35657818516984,-247.84792693308515,2016.0,15.370509,15.44322,15.230935,30.635244715507298,0.036578923,13388.840756541824,6.912947,9080.901751004838,19.656147,6408.907977463854,20.402212,15.484185209524655,15.45862967040476,15.58701844696675,0.0028008965317229536,0.003295680186566193,0.003778530866385115,12.915300986960908,0.0038229320334670015,-0.1283887765619902,0.005009144948918547,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.5482,0.0186,15.5854,0.0178,15.4117,0.0071,15.4336,0.0086,15.572,0.0081,15.7114,0.0081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.15,0.049,16.672,0.114,17.150000000000002,0.17,20.3646,0.3953,16.759,0.0196,18.14115929537033,0.015101754949674327,18.7288075339676,0.051082921114343004,15.3,0.006,0.0
265,1204051067339635072,238.00364418667914,19.96401272144666,-54.025460260178505,-168.9016703602157,2016.0,16.183655,16.208588,16.118364,17.071334191217627,0.045548603,6331.183344904742,3.7813632,4487.265589548218,14.412058,2830.168952496889,13.006341,16.297334858561257,16.22398938124689,16.47445582901968,0.002817001604952849,0.0041755018568654595,0.005234077890917029,12.458674112423337,0.006449015382443472,-0.25046644777278737,0.00670464605562304,16.274472972972973,0.02322949913149587,16.135365853658534,0.009940692662622853,16.28,0.004153311931459195,16.42949315068493,0.004,16.621749343832022,0.013723799885472489,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.1736,0.0032,16.2913,0.0014,16.4488,0.0022,16.611,0.0046,16.7326,0.0081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.036,0.106,17.282,0.21,-1.0,-1.0,19.2068,0.1318,17.1183,0.0203,19.08138098728589,0.02659920489318364,19.86820889126963,0.1142840181934184,16.199,0.007,2.0
267,4425632987265111680,239.74023399639623,4.284440514729848,-36.81675394898704,-72.9642204182952,2016.0,15.995419,16.202784,15.653457,44.42666298530873,0.04850509,7529.729749062338,3.924729,4511.31818803259,13.035944,4342.855511410802,9.333899,16.109096269659606,16.218191531522105,16.0095446513406,0.0028037108052465895,0.0038984451682280027,0.0028235850108297923,14.34732758336987,0.0036766140754795644,0.2086468801815046,0.004806471733376521,16.8505,0.008,16.2615,0.004,15.97,0.005,15.9725,0.005,16.092,0.008,16.8041,0.0403,16.6382,0.043,16.1894,0.0191,16.0093,0.0141,15.9752,0.0166,16.1022,0.0179,16.2243,0.0016,15.9925,0.0063,15.9912,0.0024,16.0654,0.0052,16.2105,0.0152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.37,0.049,16.659,0.097,16.668,0.102,-1.0,-1.0,18.7629,0.0377,17.78472896371523,0.010296817159062516,18.516763215269606,0.037943598324988566,15.731,0.006,2.0
299,4369361489686615296,264.87779603258303,-2.6159188361049264,-67.11460514547258,204.05865558517576,2016.0,17.428051,17.569744,17.188116,15.872878072542202,0.09361068,2012.4548077433008,1.7387533,1280.9129290785659,9.533964,1056.602206076889,7.832044,17.541730487378423,17.585182746291157,17.544267564153735,0.002903893120288452,0.008422938733984416,0.008211471682217024,13.545011375873841,0.01311716293522814,0.04091518213742683,0.011750869122681985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.8063,0.0423,17.7611,0.0355,17.5327,0.0082,17.483,0.008,17.5099,0.01,17.6031,0.0184,17.5611,0.0017,17.484,0.0029,17.5462,0.0066,17.6165,0.0031,17.7191,0.0145,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.46954883969419,0.04447916068784761,-1.0,-1.0,17.276,0.006,0.0
313,6634434818199357056,276.59279669976723,-60.909351567319376,-9.466506675729224,-73.47324494629419,2016.0,17.383423,17.54073,17.092749,18.238168218848234,0.08877443,2096.9006980588097,1.8050375,1315.603866952976,8.486066,1153.6099528613497,8.789241,17.497098949448365,17.556168325338692,17.448880526103483,0.0028973589105152817,0.007397042800175374,0.008398206298194653,13.801954018256229,0.010986324364843704,0.1072877992352123,0.01116033376323592,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.9003,0.037,17.815,0.0319,17.4367,0.0125,17.3239,0.0155,17.2996,0.0213,17.3949,0.0271,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.611,0.151,17.757,0.243,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.182,0.007,0.0
346,6424223313252632576,301.7837173352278,-67.57905822889313,39.84658353234956,-151.92988527950843,2016.0,16.461164,16.605253,16.205635,26.000873352682163,0.047285017,4903.214877021344,2.2941525,3113.9793658075387,9.176245,2611.5834808908694,6.943109,16.574841336252817,16.620652480143487,16.56172178387629,0.0027912486914261816,0.003955728498216174,0.003300296361011332,13.649794472970083,0.004832099283593007,0.05893069626720318,0.005150676101861113,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.054,0.0189,16.9523,0.021,16.5787,0.011,16.5148,0.0112,16.5524,0.0096,16.671,0.0138,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.747999999999998,0.083,17.204,0.2,17.298000000000002,0.216,21.8936,0.4053,18.311,0.0567,18.64367455358032,0.019244747881322383,19.45311076826485,0.0789103594585763,16.278,0.006,0.0
350,6797171060323993728,305.1057046665205,-30.454499720553063,-71.99896976151112,-96.75226994086086,2016.0,13.596937,13.626402,13.528521,57.27289689365631,0.02108817,68575.92878381936,39.89186,48401.18168017272,44.639027,30743.275736410535,24.876749,13.71061111083026,13.641799648553752,13.884605391301225,0.002817833238096366,0.002516047291829542,0.0018009505388287231,12.50035913061814,0.0029343010600601433,-0.24280574274746974,0.0030943376515314624,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.7037,0.0135,13.7013,0.0107,13.603,0.0058,13.6825,0.0069,13.8813,0.0048,14.0609,0.0064,13.6353,0.0064,13.6889,0.0249,13.8721,0.0031,14.0146,0.0013,14.1597,0.0159,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.535,0.028,14.995000000000001,0.039,15.439,0.05,16.6533,0.0351,14.6018,0.0095,16.34690315178106,0.004003906505604718,17.07595623330012,0.012735578579732195,13.611,0.006,0.0
365,6808651507904773888,313.0701935873609,-22.10863862165755,4.18804509923444,145.14797881280373,2016.0,14.935269,15.044355,14.719013,49.208390883803354,0.032270093,19991.20403403424,7.6167073,13112.178287135346,19.31185,10269.586772186816,12.207187,15.048944870509157,15.059759967931923,15.075103537402809,0.0027756441205432233,0.002810630757735816,0.0020407791813830084,13.509141003473488,0.003124644210246572,-0.015343569470888808,0.0034735804626731793,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.3671,0.0147,15.2638,0.0127,15.0097,0.0068,14.9824,0.0086,15.0575,0.0059,15.177,0.0075,15.0667,0.0039,15.0013,0.0019,15.0571,0.0018,15.1524,0.0014,15.2461,0.0028,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.478,0.035,15.992,0.059,16.423000000000002,0.073,-1.0,-1.0,16.8979,0.0182,17.165732082131758,0.007176172592039913,17.882866207949753,0.025728259983401103,14.795,0.006,0.0
379,6585792870460638336,324.33847295829395,-38.143993618720195,-7.327774686507259,-10.033134980867711,2016.0,16.540829,16.733006,16.207914,30.891736629457768,0.055703536,4556.331064861626,2.2799435,2768.311346754704,10.5485525,2606.109031238536,9.249994,16.654505994059402,16.748398173464054,16.563987990415463,0.0027965671565960202,0.004739766908783959,0.004164093610887647,14.10369755678468,0.004823121873845901,0.18441018304858892,0.006303219327336994,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.3608,0.0156,17.1518,0.0198,16.7002,0.0032,16.5671,0.0028,16.5422,0.0049,16.6052,0.0104,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.822,0.073,17.174,0.128,17.747,0.248,-1.0,-1.0,20.4356,0.1242,18.369409041808915,0.017023293676382688,19.06392791559666,0.06447654590359012,16.283,0.006,0.0
